End_Station Id,End_Station_Name,End_Latitude,End_Longitude
JC109,Bergen Ave & Sip Ave,40.73100889,-74.064437
,,40.73100889,-74.064437
,,40.731009,-74.064437
JC110,JC Medical Center,40.715391,-74.049692
,,40.71539114,-74.04969156
JC115,Grove St - PATH,40.71941,-74.04309
,Grove St PATH,40.71941,-74.04309
JC116,Exchange Pl,40.71636596,-74.03434396
,,40.716366,-74.034344
JCSYS,JCBS Depot,40.70965083,-74.06860113
MTL-ECO5-LAB,MTL-ECO5-LAB,40.74716563,-74.08896387
Shop Morgan ,Shop Morgan,40.70987334,-73.9315939
SYS035,Pier 40 Dock Station,40.72865963,-74.01197971
,,40.72865963,-74.01197971
,,40.72866,-74.01198
